id,sgpa1,sgpa2,sgpa3,sgpa4,cgpa,active_backlogs,total_backlogs,10th_mark,12th_mark,stress_level,studytime,part_timejob,math,dsa,networks,os,attendance,career_preference
250,3.6,9.22,8.37,9.04,7.56,0,0,58.93,34.93,low,0,no,81,98,74,94,92.58,none
251,8.59,7.21,6,8.66,7.62,0,0,88.86,95.92,low,0,no,75,96,34,69,80.69,none
252,7.64,6.15,9.69,8.3,7.94,0,0,58.57,35.91,low,14,no,85,89,98,43,93.05,higher study
253,4.23,7.49,6.5,8.44,6.66,0,0,88.22,74.18,medium,12,yes,38,50,83,34,99.69,higher study
254,7.14,6.37,6.09,8.44,7.01,0,0,55.34,79.46,low,1,yes,45,84,92,96,85.87,job
255,8.93,7.2,7.89,7.93,7.99,0,0,62.49,40.2,low,10,no,92,70,96,45,81.15,none
256,6.33,7.05,4.43,7.37,6.3,5,5,74.24,36.23,low,4,no,98,42,58,38,74.61,none
257,4.02,9.27,8.93,8.59,7.7,0,0,37.72,85.59,high,1,yes,85,71,43,69,67.79,higher study
258,7.27,8.32,9.57,8.78,8.48,0,0,96.53,58.78,medium,3,yes,76,86,34,50,86.27,job
259,6.13,8.41,6.99,6.07,6.9,0,0,71.44,40.19,high,8,yes,96,46,47,91,62.51,none
260,8.22,6.46,6.36,4.66,6.42,0,0,67.03,84.1,low,2,no,83,86,54,55,98.25,none
261,8.75,7.1,7.71,9.07,8.16,0,0,89.24,89.9,low,1,yes,72,82,91,64,85.9,job
262,9.31,4.32,8.72,6.15,7.12,0,0,91.01,72.36,high,3,no,75,68,71,59,98.37,higher study
263,6.84,7.12,8.35,8.88,7.8,2,2,68,43.81,low,8,no,50,49,34,46,70.89,higher study
264,8.58,6.45,7.87,6.83,7.43,0,3,95.13,34.03,high,3,yes,76,46,38,96,97.86,none
265,4.1,8.4,4.25,8.62,6.34,0,0,37.35,79.96,low,14,no,82,44,77,100,84.49,job
266,6.88,8.12,6.95,7.17,7.28,0,0,40.59,69.86,low,11,yes,38,35,98,96,92.41,job
267,8.73,6.57,7.63,6.36,7.32,3,3,72.99,76.61,low,4,no,34,52,90,44,67.16,job
268,8.26,7.1,6.27,6.24,6.97,0,0,56.73,87.49,low,3,yes,100,78,78,97,80,none
269,8.41,5.06,8.04,6.47,6.99,0,0,64.11,62.1,medium,12,yes,57,79,93,65,82.76,higher study
270,6.05,3.64,8.18,6.75,6.15,0,0,54.99,41.35,medium,7,yes,62,80,99,43,75.71,higher study
271,5.77,6.32,8.9,5.94,6.73,0,0,60.12,95.98,medium,13,yes,48,82,80,87,70.13,higher study
272,4.67,9.8,6.78,7.47,7.18,0,0,88.12,69.54,high,12,no,37,75,59,88,96.19,higher study
273,4.67,7.88,6.06,5.19,5.95,2,2,72.77,74.23,high,14,yes,77,66,42,95,63.4,higher study
274,5.4,6.36,7.64,8.1,6.88,0,0,99.82,95.54,high,14,yes,98,74,84,88,66.16,none
275,8.89,8.96,8.12,8.96,8.73,0,0,85.72,95.42,high,3,yes,64,52,41,68,72.82,none
276,8.18,8.34,8.37,7.32,8.05,0,0,51.34,71.33,medium,1,yes,53,72,38,100,96.79,higher study
277,6.91,7.17,6.58,7.55,7.05,0,0,50.72,52.95,high,11,no,43,40,72,98,82.57,higher study
278,8.49,7.74,6.79,7.57,7.65,0,0,55.51,99.81,high,3,yes,44,72,73,50,74.93,none
279,6.84,8.73,7.54,7.62,7.68,0,0,89.5,78.62,high,1,no,61,67,69,75,76.11,higher study
280,8.62,7.66,6.99,7.55,7.71,0,0,34.84,60.37,low,8,no,71,77,54,92,93.51,higher study
281,3.89,6.52,8.58,6.03,6.26,0,3,48.43,70.51,high,10,no,57,96,59,44,61.07,higher study
282,6.34,7.14,9.08,9.33,7.97,0,0,93.63,60.87,low,13,yes,72,81,89,61,60.45,job
283,8.11,8.53,5.65,6.01,7.07,1,1,75.88,92.52,high,7,no,84,36,90,72,61.84,higher study
284,7.62,7.93,7.42,6.29,7.32,0,0,48.21,65.33,high,8,yes,83,67,92,87,78.77,job
285,6.29,7.95,8.4,6.3,7.24,0,1,47.69,88.18,low,3,yes,40,42,40,44,83.25,higher study
286,6.73,8.6,6,8.11,7.36,0,0,90.8,89.29,high,0,yes,86,94,75,91,84.98,higher study
287,6.04,3.56,7.74,6.61,5.99,5,5,92.88,88.23,low,2,no,70,53,46,73,89.25,none
288,7.41,8.68,8.32,8.68,8.27,0,4,50.17,81.39,high,6,yes,87,73,67,37,67.59,none
289,6.9,8.76,7,8.79,7.86,0,0,61.18,90.28,high,0,no,88,45,86,97,70.49,none
290,7.8,4.63,8.49,8.93,7.46,0,0,88.92,58.95,low,10,no,64,61,79,81,69.74,job
291,6.89,6.28,9.16,8.82,7.79,0,2,84.66,40.69,medium,7,no,98,81,90,64,65.97,job
292,6.9,7.63,6.82,6.82,7.04,0,0,87.53,89.45,low,8,no,92,40,94,35,69.78,higher study
293,4.72,8.22,7.64,9.23,7.45,1,1,67.74,66.38,medium,7,yes,80,47,89,76,84.55,job
294,8.23,4.33,6.64,7.53,6.68,1,1,94.07,41.54,low,4,yes,82,52,62,74,74.66,none
295,6.14,8.27,7.43,6.53,7.09,0,0,54.85,40.73,medium,11,yes,51,87,47,93,90.72,job
296,8.71,7.82,5.07,4.52,6.53,0,0,43.51,43.68,high,10,yes,36,93,46,79,81.46,higher study
297,8.56,6.5,6.95,8.42,7.61,0,0,80.49,83.32,medium,13,yes,51,100,50,73,68.48,job
298,8,8.39,6.8,8.67,7.96,2,5,69.14,80.63,high,11,no,91,67,62,92,78.7,none
299,7.78,8.16,8.9,8.55,8.35,0,0,90.26,46.66,low,12,no,58,74,35,78,83.73,higher study
300,8.68,6.26,5.49,7.3,6.93,0,0,38.45,89.75,medium,14,no,51,64,95,75,94.65,job
301,6.56,7.39,6.48,3.57,6,0,0,89.53,51.85,high,8,yes,85,72,53,54,93.35,higher study
302,6.24,4.6,8.36,8.28,6.87,0,0,52.66,86.13,low,3,no,76,85,89,36,77.06,higher study
303,6.72,6.52,8.95,6.29,7.12,0,0,76.88,65.76,medium,8,yes,100,80,85,99,85.91,job
304,8.38,7.01,6.06,6.12,6.89,0,1,35.7,82.02,high,0,no,40,53,58,44,71.91,higher study
305,6.1,4.16,8.1,4.91,5.82,0,0,73.85,58.56,medium,11,no,77,85,95,57,85.32,job
306,9.57,6.05,6.76,8.26,7.66,0,0,81.06,56.26,medium,10,no,77,95,50,83,96.51,none
307,7.75,7.2,6.12,7.28,7.09,0,0,57.71,89.37,high,2,yes,84,38,72,54,84.98,none
308,8.99,7.65,7.21,9.26,8.28,0,0,47.44,35.37,high,3,yes,54,90,43,58,72.15,job
309,8.57,3.91,8.81,8.99,7.57,0,0,69.03,98.31,low,10,yes,70,37,92,37,85.76,job
310,7.56,7.86,6.04,6.29,6.94,0,0,88.83,76.43,high,9,yes,61,44,58,76,96.11,higher study
311,6.19,7.99,7.76,8.57,7.63,0,0,54.68,61.98,high,0,no,65,52,61,80,65.48,job
312,8.49,5.22,7.5,7.44,7.16,2,3,49.92,75.08,medium,11,yes,90,60,94,56,79.3,higher study
313,7.8,8.51,8.62,8.48,8.35,0,0,51.7,41.23,high,5,yes,74,62,91,93,72.84,none
314,9.33,4.79,6.25,8.45,7.2,0,0,96.59,67.45,medium,12,no,87,51,77,54,69.66,job
315,4.57,9.04,8.04,8.75,7.6,0,3,57.08,99,medium,14,no,60,70,56,99,75.85,none
316,6.34,6.65,8.04,6.89,6.98,0,0,33.25,48.77,high,3,no,73,94,50,84,75.76,job
317,6.28,6.36,5.45,8.85,6.74,0,0,85.37,81.4,high,3,yes,74,80,71,48,68.42,none
318,8.73,8.55,8.01,6.46,7.94,0,5,79.85,62.15,high,0,no,57,53,63,91,76.15,job
319,8.01,6.47,4.39,6.25,6.28,0,0,41.62,76.72,high,4,no,51,82,52,59,85.35,job
320,8.49,8.92,8.83,9.22,8.86,0,0,98.99,46.74,low,8,yes,89,48,65,92,61.03,higher study
321,8.64,8.53,8.47,7.29,8.23,2,2,73.74,64.53,medium,5,no,48,51,53,78,99.57,higher study
322,7.72,4,6.13,9.2,6.76,2,2,66.56,98.67,low,14,yes,68,71,97,99,71.84,job
323,7.55,7.5,7.41,8.48,7.74,3,3,58.61,46.09,low,7,yes,60,55,69,68,84.95,higher study
324,7.29,8.94,7.19,7.42,7.71,0,0,93.21,75.65,medium,10,yes,36,93,98,97,71.34,job
325,9.04,4.3,6.93,8.49,7.19,2,2,49.35,71.57,low,3,no,54,99,76,60,75.74,job
326,6.95,9.99,4.94,8.19,7.52,0,0,52.15,70.86,high,8,no,72,59,59,64,81.97,none
327,7.3,6.29,7.35,6.63,6.89,0,0,41.21,74.22,high,6,no,65,97,40,45,84.47,higher study
328,8.32,9.13,5.58,8.85,7.97,0,0,83.86,66.65,high,13,yes,83,91,67,78,90.82,higher study
329,7.81,6.91,5.22,3.74,5.92,0,0,72.91,34.14,high,13,no,42,36,69,65,91.67,none
330,8.68,4.98,7.15,6.18,6.75,3,3,73.81,93.31,medium,6,yes,83,63,39,87,80.75,job
331,7.33,7.91,7.3,8.69,7.81,0,0,47.65,88.41,high,7,no,34,52,70,99,63.03,higher study
332,7.82,7.05,8.94,9.13,8.24,0,0,76.63,44.68,medium,1,yes,37,43,95,65,82.31,job
333,7.89,8.79,3.55,5.59,6.46,0,0,84.29,60.7,medium,11,yes,37,79,93,48,79.1,higher study
334,7.78,6.2,6.27,9.93,7.54,2,2,56.98,84.63,medium,5,yes,67,52,97,88,68.62,higher study
335,8.11,7.65,8.77,6.91,7.86,0,0,86.69,98.66,medium,6,yes,60,91,83,74,60.41,job
336,6.71,7.77,7.44,7.5,7.36,4,7,56.38,96.73,low,2,yes,48,39,85,73,72.64,job
337,4.99,7.96,4.34,7.27,6.14,0,0,83.8,93.26,low,7,yes,65,84,50,82,70.38,higher study
338,7.54,3.68,7.87,6.52,6.4,0,0,35.27,43.62,high,0,yes,74,47,93,71,79.32,none
339,6.31,6.77,8.49,7.07,7.16,0,0,69.93,94.27,medium,0,yes,94,91,87,89,90.46,none
340,7.15,7.09,7.08,6.58,6.98,0,0,97.96,91.86,high,9,yes,96,41,43,67,77.56,none
341,7.46,8.53,3.86,6.61,6.61,0,0,98.74,58.26,high,2,yes,94,35,58,34,98.06,none
342,7.96,6.58,7.29,6.56,7.1,0,0,51.88,59.44,high,5,yes,47,51,51,43,68.85,none
343,8.85,3.87,7.23,7.47,6.86,0,0,62.58,63.82,high,6,yes,56,90,97,73,68.84,job
344,7.8,3.68,7.12,8.39,6.75,0,0,37.23,76.97,medium,1,no,98,68,92,49,84.18,higher study
345,8.23,8.48,9.39,7.71,8.45,0,0,91.52,50.48,medium,13,no,65,99,60,79,95.85,none
346,7.52,7.69,8.78,5.38,7.34,0,1,71.1,34.55,low,5,yes,74,89,91,57,86.87,higher study
347,7.9,8.29,4.08,8.68,7.24,0,0,58.81,42.47,medium,11,no,59,76,94,47,86.95,job
348,6.21,8.14,8.49,7.91,7.69,0,0,40.56,62.49,medium,4,yes,81,41,76,72,92.25,higher study
349,6.76,5.53,6.33,8.07,6.67,0,3,96.43,51.9,high,14,no,49,38,44,51,86.75,job
350,7.09,6.62,6.32,8,7.01,0,0,68.53,84.22,medium,5,yes,64,46,38,74,90.37,higher study
351,7.42,7.71,5.76,7.35,7.06,0,0,51.96,40.16,high,0,no,99,40,91,89,94.65,higher study
352,6,8.6,7.28,4.65,6.63,0,1,56.47,94.47,medium,13,yes,65,54,72,69,60.32,job
353,6.14,7.3,3.59,8.07,6.28,0,0,51.14,92.99,low,9,no,43,70,81,57,95.42,higher study
354,6.42,9.8,6.3,6.21,7.18,3,5,73.33,93.89,high,6,yes,58,78,53,62,68.61,job
355,6.83,8.9,7.86,8.58,8.04,0,0,95.31,82.56,medium,7,no,78,85,52,55,96.48,higher study
356,8.91,7.36,6.43,8.33,7.76,5,5,90.4,40.18,medium,13,no,57,81,93,44,70.65,higher study
357,6.99,6.43,7.57,4.57,6.39,0,0,63.85,62.36,high,6,no,36,95,59,74,78.21,none
358,7.45,7.17,6.02,6.74,6.85,0,0,88.38,41.81,low,8,yes,95,84,58,82,97.36,higher study
359,5.42,8.86,6.95,8.3,7.38,0,0,61.35,99.18,low,0,no,100,37,48,44,64.39,none
360,6.59,6.96,8.03,6.04,6.9,1,1,49.91,55.32,medium,9,no,88,89,54,85,89.81,none
361,7.83,8.6,4.05,6.65,6.78,0,0,98.89,72.22,medium,8,yes,43,67,80,100,75.7,job
362,6.84,8.64,7.45,6.2,7.28,0,0,53.37,85.22,medium,10,yes,88,78,68,41,60.96,job
363,6.62,7.05,8.93,8.34,7.74,1,1,54.7,94.68,high,10,no,55,49,77,64,97.57,higher study
364,7.55,6.25,8.62,8.27,7.67,0,0,99.31,83.62,high,12,yes,47,42,39,39,64.71,job
365,4.49,8.17,7.08,8.44,7.04,0,0,41.98,78.2,high,14,no,41,49,56,46,90.97,none
366,6.02,6.93,6.14,6.01,6.28,0,0,83.96,64.23,medium,2,no,48,64,72,39,75.37,higher study
367,9.27,8.35,8.54,5.74,7.98,0,3,95.7,73.57,low,1,yes,48,46,51,100,92.42,job
368,5.57,7.33,8.73,7.5,7.28,0,0,67.3,39.32,high,5,no,85,38,73,60,90.01,job
369,6.02,7.46,8.46,8.11,7.51,0,0,33.18,92.22,low,10,no,87,80,69,78,85.33,job
370,6.66,8.33,6.38,4.22,6.4,0,0,58.14,69.44,medium,4,yes,75,72,61,59,97.57,none
371,6.11,7.15,8.99,6.47,7.18,0,0,40.48,35.7,high,14,yes,52,51,97,37,63.96,job
372,6.32,7.33,6.78,7.95,7.1,0,0,60.89,94.63,high,3,no,73,53,91,70,91.94,higher study
373,7.02,7.13,8.17,6.25,7.14,0,0,85.93,65.79,high,3,no,60,35,71,54,86.83,higher study
374,8.41,7.1,8.72,6.54,7.69,0,3,62.4,91.2,medium,7,no,76,73,77,61,72.59,higher study
375,7.72,7.58,6.71,4.12,6.53,0,0,61.94,90.41,medium,9,yes,85,63,35,65,81.84,none
376,7.54,8.43,8.72,7.43,8.03,0,5,70.31,87.66,medium,12,no,79,43,68,86,85.79,job
377,3.93,7.09,6.93,7.96,6.48,0,0,71.98,37.12,low,2,no,47,97,34,66,89.45,higher study
378,6.88,5.38,8.93,6.44,6.91,0,0,90.37,49.56,low,12,no,97,75,79,59,67.48,job
379,3.58,7.57,6.84,6.56,6.14,0,0,53.67,91.66,high,0,yes,94,86,93,50,64.08,job
380,8.8,8.01,8.86,5.85,7.88,3,3,88.05,93.23,high,4,no,91,86,96,89,64.08,higher study
381,7.19,6.81,6.16,6.61,6.69,0,0,70.92,63.7,medium,7,no,82,73,78,63,71.75,none
382,6.26,6.83,8.13,6.72,6.98,0,0,53.14,62.49,medium,2,yes,62,49,90,38,66.17,higher study
383,7.85,8.8,7.6,6.68,7.73,0,4,52.78,44.74,medium,1,yes,59,81,70,39,81.43,higher study
384,4.01,8.17,4.27,7.19,5.91,0,0,57.2,97.88,high,0,no,60,94,40,95,77.48,none
385,6.34,5.38,7.43,7.96,6.78,1,1,74.72,47.29,medium,12,yes,100,71,49,43,95.72,job
386,4.35,7.73,6.67,7.31,6.52,0,0,48.47,45.8,low,3,no,100,77,83,43,88.7,job
387,7.04,9.39,9.19,8.33,8.49,0,0,94.66,77.27,low,10,no,68,48,47,77,68.23,none
388,7.52,7.94,8.12,8.16,7.94,0,0,71.52,49.28,high,1,yes,93,94,39,89,61.83,higher study
389,8.62,6.09,6.57,9.14,7.6,0,0,94.64,95.9,high,13,no,94,40,94,37,88.37,none
390,4.78,7.85,7.66,6.38,6.67,0,0,36.12,33.74,low,7,no,36,63,54,46,93.83,higher study
391,9.01,7.53,6.76,6.15,7.36,0,0,55.96,33.4,medium,10,no,66,69,43,52,88.04,none
392,7.48,7.64,8.87,5.52,7.38,0,3,34.54,66.83,high,12,no,75,44,65,95,85.75,job
393,8.11,7.08,9.79,8.63,8.4,0,0,51.25,65.71,high,14,no,46,62,39,42,69.97,none
394,8.98,6.24,6.09,5.55,6.72,0,0,90.76,43.95,high,9,yes,62,39,35,79,79.78,none
395,6.39,5.29,6.6,3.99,5.57,0,0,35.46,66.14,low,11,no,42,84,72,89,89,higher study
396,5.04,5.17,6.73,6.24,5.8,0,0,62.23,60.59,high,8,no,65,71,82,73,67.73,higher study
397,5.78,6.58,7.24,6.45,6.51,0,0,40.89,92.65,low,12,yes,55,55,60,100,79.06,higher study
398,6.82,8.85,6.7,6.07,7.11,4,4,60.93,33.63,low,9,yes,91,87,89,95,64.68,none
399,7.18,7.23,5.04,7.89,6.84,0,0,89.2,98.41,medium,0,yes,90,73,47,79,81.23,none
400,7.27,7.4,9.42,7.75,7.96,3,3,74.75,74.84,medium,14,yes,43,40,56,39,82.94,higher study
401,7.23,6.16,7.47,8.96,7.46,0,0,82.37,43.18,medium,1,yes,58,73,84,62,81.42,job
402,4.77,6.11,4.84,8.66,6.1,0,0,56.4,36.14,high,5,yes,95,57,58,52,78.78,higher study
403,8.72,8.15,8.62,7.23,8.18,0,5,96.28,69.06,low,12,yes,96,74,86,48,83.5,none
404,4.75,7.61,8.14,7.11,6.9,0,0,80.52,48.75,high,9,yes,36,84,44,90,99.87,none
405,8.14,9.49,7.74,9.2,8.64,1,1,61.27,53.19,low,11,no,80,72,68,71,84.9,higher study
406,3.63,7.53,6.27,6.89,6.08,2,2,61.58,49.43,high,6,no,88,76,88,54,90.1,higher study
407,7.82,4.69,8.08,6.46,6.76,0,1,94.55,76.57,low,1,yes,59,92,91,84,67.68,none
408,6.93,6.73,6.5,6.41,6.64,0,0,71.62,70.09,medium,7,no,46,58,70,72,81.2,none
409,3.59,8.23,8.36,9.25,7.36,0,0,80.33,38.23,medium,12,no,40,58,42,53,60.3,job
410,8.47,6.5,6.75,9.93,7.91,2,2,60.95,68.28,high,9,no,67,57,61,35,61.26,higher study
411,8.87,6.57,7.25,6.4,7.27,0,0,48,86.01,low,8,no,55,95,88,65,72.9,higher study
412,9.98,7.38,9.09,3.86,7.58,0,4,81.48,38.45,medium,7,no,56,76,79,37,78.66,job
413,9.97,6.86,7.05,6.34,7.56,0,3,73.73,92.61,low,8,yes,81,92,60,40,83.03,none
414,8.46,6.74,8.58,9.76,8.38,0,5,66.59,71.75,high,14,yes,47,87,43,36,95.52,none
415,6,7.94,6.38,6.72,6.76,0,1,74.81,96.69,medium,5,no,85,59,56,58,90.87,job
416,7.91,7.95,7.7,6.92,7.62,0,2,46.96,42.93,high,10,yes,72,87,54,42,72,higher study
417,6.15,8.47,6.43,8.88,7.48,4,4,86.2,99.57,high,6,no,74,94,78,59,89.74,none
418,6.77,7.25,8.11,7.74,7.47,0,0,96.53,76.17,low,5,no,69,77,36,97,81.98,job
419,6.18,6.22,8.72,8.96,7.52,0,0,92.7,71.03,high,6,no,39,42,92,51,91.17,job
420,7.81,6.82,7.3,7.12,7.26,0,4,54.54,67.53,high,2,yes,56,75,76,35,76.44,job
421,8.06,8.94,7.46,9.79,8.56,0,0,60.21,34.59,low,3,no,43,62,40,34,63.68,none
422,6.34,9.88,8.78,7.37,8.09,0,0,87.16,95.96,low,8,no,93,91,60,81,84.74,none
423,7.15,7.79,7.56,6.97,7.37,0,0,72.88,76.15,high,2,no,63,96,95,96,82.28,job
424,7.37,8.13,7.46,6.55,7.38,0,0,69.71,39.15,medium,1,yes,38,82,75,69,98.14,job
425,7.11,6.02,7.73,6.43,6.82,0,0,95.09,34.41,medium,11,no,90,44,37,96,66.49,none
426,6.36,7.55,8.07,3.57,6.39,0,0,68.92,36.41,low,12,yes,76,87,95,59,86.25,none
427,7.26,6.11,6.32,8.84,7.13,0,0,67.51,73.83,high,10,no,85,63,41,39,78.96,none
428,4.88,7.71,9.48,8.96,7.76,0,0,35.82,74.14,medium,6,no,39,99,50,59,75.16,none
429,8.25,8.76,8.46,6.13,7.9,0,0,37.66,66.48,low,5,no,35,98,38,76,91.78,none
430,6.21,8.91,7.31,6.45,7.22,0,0,33.51,53.56,low,2,yes,50,91,96,34,92.43,job
431,6.24,7.62,6.22,9.1,7.3,0,3,94.19,68.63,low,5,no,45,90,42,42,88.58,none
432,7.06,7.37,8.36,7.27,7.52,0,0,60.37,67.6,high,14,no,77,70,41,60,63.34,none
433,8.83,8.84,7.13,4.09,7.22,1,1,64.4,34.31,low,6,no,87,87,40,36,73.8,job
434,8.01,5.11,4.05,6.56,5.93,0,0,89.64,51.93,medium,5,no,40,57,70,94,61.87,job
435,8.04,8.02,9.09,7.09,8.06,0,0,73.82,36.57,high,0,no,65,96,88,35,73.75,higher study
436,7.09,6.19,6.3,9.84,7.36,0,0,73.84,93.31,medium,11,no,62,84,100,64,85.92,none
437,7.78,7.4,7.9,6.39,7.37,0,0,52.87,81.59,medium,13,yes,79,48,41,98,80.75,higher study
438,4.6,6.72,8.64,7.37,6.83,0,0,88.87,99.74,medium,0,no,86,80,38,51,88.12,higher study
439,6.03,9.41,8.66,6.82,7.73,0,0,44.12,53.25,high,8,yes,58,79,50,39,82.06,job
440,7.91,7.41,8.87,7.06,7.81,0,0,36.57,91.86,medium,5,no,86,63,91,75,82.23,job
441,8.74,3.6,8.6,5.44,6.6,0,0,45.85,73.41,low,11,yes,62,53,96,37,80.44,higher study
442,9.4,5.05,6.01,6.28,6.68,0,0,50.95,63.36,low,1,no,39,90,60,37,74.57,higher study
443,7.84,7.37,7.14,4.1,6.61,0,4,51.92,47.92,medium,14,yes,71,82,61,98,77.86,higher study
444,8.62,7.75,8.46,7.28,8.03,0,0,77.93,82.47,low,10,no,36,89,91,74,64.5,higher study
445,5.6,7.07,7.1,8.95,7.18,0,0,47.6,93.58,high,0,yes,68,89,83,76,93.38,none
446,3.9,9.54,7.8,6.99,7.06,3,3,78.34,48.77,high,10,no,88,58,100,88,95.57,higher study
447,9.73,6.49,7.82,8.63,8.17,1,1,39.11,44.76,low,11,yes,80,42,64,52,90.65,job
448,8.17,7.51,3.91,9.41,7.25,1,1,42.87,79.65,low,1,no,66,55,45,54,83.34,higher study
449,6.36,8.49,7.1,8.53,7.62,2,2,67.1,98.46,high,7,no,36,70,88,91,82.77,higher study
450,8.71,7.99,8.71,8.86,8.57,0,0,94.77,83.25,medium,4,no,92,61,37,63,78.81,job
451,6.2,7.02,7.51,5.32,6.51,1,1,90.59,52.07,high,6,yes,51,47,75,40,69.25,higher study
452,7.6,8.81,7.39,8.37,8.04,0,0,97.91,61.14,medium,6,yes,99,63,87,97,75.35,job
453,6.43,5.44,8.99,7.98,7.21,0,0,76.59,58.76,low,1,yes,58,72,55,35,99.6,none
454,3.56,4.75,7.48,4.13,4.98,0,0,78.28,90.09,low,3,no,53,90,34,100,65.83,none
455,6.04,4.39,4.09,8.57,5.77,0,1,74.88,84.68,medium,1,yes,62,38,81,42,81.71,job
456,7.27,8.74,6.54,6.23,7.19,5,5,74.73,72.47,medium,6,no,51,45,76,56,94.66,none
457,6.89,6.63,7.54,7.39,7.11,0,0,42.87,51.43,high,4,no,60,68,53,47,78.12,none
458,7.46,6.12,8.44,8.97,7.75,0,0,69.44,95.85,medium,0,no,75,74,51,87,84.22,none
459,7.73,8.22,9.13,8.31,8.35,0,0,58.87,76.78,low,1,no,99,96,82,78,93.11,job
460,6.13,8.48,8.33,8.89,7.96,0,0,62.66,98.02,low,5,no,59,75,50,49,81.9,higher study
461,6.37,8.9,9.24,8.34,8.21,0,0,68.09,71.87,low,13,no,56,98,86,90,89.26,none
462,7.68,8.67,4.76,8.62,7.43,1,1,41.61,88.02,medium,3,no,38,98,55,41,73.89,higher study
463,7.03,9.05,8.37,9.26,8.43,0,0,57.09,87.48,medium,6,yes,44,76,43,58,89.32,higher study
464,8.19,7.8,4.18,8.12,7.07,0,0,37.26,55.61,low,14,yes,52,93,57,74,61.64,none
465,9.35,7.59,9.86,8.28,8.77,0,0,98.64,97.59,medium,1,no,45,53,45,95,66.12,none
466,7.96,6.08,8.12,7.57,7.43,0,0,40.95,34.48,high,12,no,35,96,37,51,85.49,higher study
467,8.54,6.74,6.76,8.77,7.7,0,0,50.33,84.51,high,11,yes,76,57,75,83,77.96,none
468,4.62,7.38,8.59,8.48,7.27,0,0,92.72,97.69,medium,1,no,55,68,38,74,93.13,job
469,8.08,4.19,8.68,8.53,7.37,0,0,65.35,55.71,medium,11,yes,59,74,59,67,73.68,job
470,9.67,5.11,6.58,8.02,7.34,0,0,42.1,76.43,low,5,no,66,49,92,45,90.69,none
471,7.29,5.23,6.39,6.91,6.46,0,0,58.75,70.67,medium,7,no,57,39,95,75,65.56,higher study
472,9.81,9,8.93,6.11,8.46,0,0,40.77,84.02,low,12,yes,54,53,38,88,97.21,none
473,8.02,7.89,8.6,8.81,8.33,0,0,46.42,91.04,high,0,yes,79,89,59,92,76.74,job
474,4.09,7.67,8.68,7.76,7.05,0,0,36.5,73.41,medium,4,no,51,41,39,84,69.24,higher study
475,6.83,8.23,5.87,6.89,6.96,1,3,62.37,87.67,high,0,no,38,39,57,86,91.57,none
476,9.95,6.84,8.66,6.45,7.98,0,0,87.05,53.93,medium,14,yes,41,41,86,42,97.92,job
477,6.92,7.69,7.63,8.49,7.68,0,0,72.26,48.32,medium,10,yes,90,95,40,36,96.72,higher study
478,8.37,6.26,7.94,8.51,7.77,0,0,73.63,61.86,low,5,yes,38,47,43,41,69.52,job
479,9.4,7.24,7.64,8.44,8.18,0,0,46.45,78.41,low,6,no,46,36,72,92,86.88,none
480,7.34,8.25,9.92,7.94,8.36,0,0,56.05,45.55,medium,5,yes,99,35,61,63,81.87,none
481,8.4,8.08,6.15,4.49,6.78,0,0,89.63,78.59,medium,13,no,70,55,75,100,89,job
482,8.47,8.97,8.24,5.96,7.91,0,5,38.9,59.41,low,12,yes,62,39,95,88,79.48,job
483,8.57,6.83,4.66,7.1,6.79,0,1,90.48,86.31,high,8,yes,65,83,85,67,78.79,job
484,8.75,7.49,3.65,6.91,6.7,0,0,65.41,35.48,medium,2,yes,81,77,55,76,95.31,job
485,7.29,6.99,7.52,6.03,6.96,0,0,89.09,77.76,low,7,yes,35,41,90,61,94.85,job
486,3.62,7.32,7.94,8.5,6.85,0,0,54.31,76.54,medium,2,no,84,57,44,70,91.5,higher study
487,6.96,8.57,7.51,6.26,7.32,4,4,55.71,96.04,low,10,no,68,60,47,63,88.2,none
488,7.75,8.05,7.48,7.89,7.79,0,0,83.36,80.8,high,14,yes,48,86,64,95,87.13,higher study
489,9.78,8.65,6.52,7.51,8.12,5,5,85.6,86.35,medium,11,no,98,84,37,62,62.25,job
490,5.31,6.61,6.84,7.58,6.58,0,0,48.39,93.61,medium,12,no,71,61,55,35,89.98,higher study
491,7.11,8.62,5.32,4.11,6.29,0,1,98.18,78.23,high,12,no,50,92,97,90,85.52,none
492,7.8,6.18,6.48,8.78,7.31,0,0,38.67,52.45,medium,6,yes,78,58,94,90,72.1,job
493,8.12,8.67,6.59,6.09,7.37,0,0,37.6,91.28,medium,13,yes,34,77,39,75,92.8,job
494,8.07,6.99,4.32,8.32,6.93,0,0,72.9,83.09,medium,12,no,36,80,39,82,93.3,none
495,7.12,6.94,8.92,6.16,7.28,0,0,81.43,61.44,low,4,yes,85,46,99,90,97.29,higher study
496,6.5,7.54,9.83,9.58,8.36,0,1,97.38,80.61,low,11,yes,86,86,69,51,76.73,none
497,7.29,8.82,9.33,6.11,7.89,0,5,60.14,91.14,medium,12,yes,36,86,48,60,82.05,none
498,6.43,6.14,6.46,7.29,6.58,0,0,34.7,98.37,high,0,yes,80,70,73,87,96.24,higher study
499,9.27,7.06,6.81,6.19,7.33,0,0,73.4,96.81,high,14,no,39,96,74,57,72.67,higher study
500,9.99,8.57,7.77,4.44,7.69,2,2,52.42,54.8,medium,10,no,79,99,40,67,91.87,job
